date,r,c,y
2025-01-28,346,717,0
2025-01-28,354,704,0
2025-01-28,356,740,0
2025-01-28,358,739,0
2025-01-28,361,754,0
2025-01-28,364,728,0
2025-01-28,365,762,0
2025-01-28,367,716,0
2025-01-28,372,711,0
2025-01-28,376,763,0
2025-01-28,378,713,0
2025-01-28,379,735,0
2025-01-28,380,704,0
2025-01-28,384,703,0
2025-01-28,386,746,0
2025-01-28,399,742,0
2025-01-28,408,735,0
2025-01-28,416,750,0
2025-01-28,419,742,0
2025-01-28,421,724,0
2025-01-28,422,757,0
2025-01-28,423,729,0
2025-01-28,425,784,0
2025-01-28,425,789,0
2025-01-28,429,776,0
2025-01-28,431,776,0
2025-01-28,437,806,0
2025-01-28,438,780,0
2025-01-28,458,785,0
2025-01-28,481,806,0
2025-01-28,503,812,0
2025-01-28,470,842,0
2025-01-28,478,854,0
2025-01-28,489,855,0
2025-01-28,514,799,0
2025-01-28,517,810,0
2025-01-28,518,818,0
2025-01-28,527,813,0
2025-01-28,513,840,0
2025-01-28,516,844,0
2025-01-28,518,859,0
2025-01-28,524,884,0
2025-01-28,533,882,0
2025-01-28,545,889,0
2025-01-28,563,866,0
2025-01-28,515,898,0
2025-01-28,525,919,0
2025-01-28,525,921,0
2025-01-28,533,906,0
2025-01-28,535,937,0
2025-01-28,541,914,0
2025-01-28,542,903,0
2025-01-28,553,956,0
2025-01-28,565,943,0
2025-01-28,573,959,0
2025-01-28,550,989,0
2025-01-28,551,995,0
2025-01-28,562,1014,0
2025-01-28,563,975,0
2025-01-28,573,1017,0
2025-01-28,523,1083,0
2025-01-28,524,1080,0
2025-01-28,528,1067,0
2025-01-28,532,1049,0
2025-01-28,537,1049,0
2025-01-28,543,1058,0
2025-01-28,546,1059,0
2025-01-28,555,1065,0
2025-01-28,556,1064,0
2025-01-28,559,1085,0
2025-01-28,562,1065,0
2025-01-28,565,1076,0
2025-01-28,568,1059,0
2025-01-28,571,1081,0
2025-01-28,538,1109,0
2025-01-28,561,1141,0
2025-01-28,564,1139,0
2025-01-28,576,895,0
2025-01-28,578,879,0
2025-01-28,580,875,0
2025-01-28,588,890,0
2025-01-28,595,859,0
2025-01-28,595,887,0
2025-01-28,608,892,0
2025-01-28,619,890,0
2025-01-28,623,893,0
2025-01-28,639,872,1
2025-01-28,577,941,0
2025-01-28,578,923,0
2025-01-28,579,933,0
2025-01-28,585,901,0
2025-01-28,587,931,0
2025-01-28,589,942,0
2025-01-28,599,919,0
2025-01-28,606,945,0
2025-01-28,609,957,0
2025-01-28,622,930,0
2025-01-28,625,934,0
2025-01-28,625,936,0
2025-01-28,626,931,0
2025-01-28,632,955,0
2025-01-28,582,992,0
2025-01-28,587,987,0
2025-01-28,599,1008,0
2025-01-28,606,999,0
2025-01-28,617,974,0
2025-01-28,631,995,0
2025-01-28,636,961,0
2025-01-28,637,997,0
2025-01-28,639,1013,0
2025-01-28,639,1017,0
2025-01-28,576,1029,0
2025-01-28,580,1056,0
2025-01-28,584,1080,0
2025-01-28,596,1072,0
2025-01-28,596,1073,0
2025-01-28,596,1081,0
2025-01-28,608,1075,0
2025-01-28,609,1030,0
2025-01-28,618,1054,0
2025-01-28,630,1048,0
2025-01-28,631,1061,0
2025-01-28,634,1038,0
2025-01-28,638,1053,0
2025-01-28,577,1094,0
2025-01-28,581,1097,0
2025-01-28,594,1099,0
2025-01-28,612,1093,0
2025-01-28,614,1103,0
2025-01-28,630,1114,0
2025-01-28,634,1092,0
2025-01-28,576,1164,0
2025-01-28,640,872,1
2025-01-28,668,891,0
2025-01-28,680,883,0
2025-01-28,642,928,0
2025-01-28,647,952,0
2025-01-28,652,904,0
2025-01-28,653,918,0
2025-01-28,660,920,0
2025-01-28,668,953,0
2025-01-28,671,941,0
2025-01-28,674,921,0
2025-01-28,689,896,0
2025-01-28,690,958,0
2025-01-28,643,1005,0
2025-01-28,645,973,0
2025-01-28,646,1007,0
2025-01-28,652,967,0
2025-01-28,671,960,0
2025-01-28,673,1006,0
2025-01-28,674,978,0
2025-01-28,674,999,0
2025-01-28,674,1001,0
2025-01-28,678,1005,0
2025-01-28,683,1008,0
2025-01-28,690,976,0
2025-01-28,702,1011,0
2025-01-28,643,1063,0
2025-01-28,645,1053,0
2025-01-28,647,1059,0
2025-01-28,651,1042,0
2025-01-28,660,1026,0
2025-01-28,660,1054,0
2025-01-28,663,1026,0
2025-01-28,687,1035,0
2025-01-28,688,1026,0
2025-01-28,642,1107,0
2025-01-28,643,1120,0
2025-01-28,648,1091,0
2025-01-28,657,1091,0
2025-01-28,657,1120,0
2025-01-28,685,1107,0
2025-01-28,689,1106,0
2025-01-28,714,921,0
2025-01-28,720,948,0
2025-01-28,760,958,0
2025-01-28,710,961,0
2025-01-28,714,983,0
2025-01-28,717,990,0
2025-01-28,723,997,0
2025-01-28,726,991,0
2025-01-28,733,961,0
2025-01-28,751,966,0
2025-01-28,752,966,0
2025-01-28,752,971,0
2025-01-28,764,966,0
2025-01-28,710,1026,0
2025-01-28,713,1062,0
2025-01-28,714,1045,0
2025-01-28,715,1044,0
2025-01-28,721,1083,0
2025-01-28,724,1054,0
2025-01-28,732,1064,0
2025-01-28,736,1036,0
2025-01-28,739,1075,0
2025-01-28,750,1068,0
2025-01-28,750,1072,0
2025-01-28,764,1051,0
2025-01-28,717,1089,0
2025-01-28,739,1097,0
2025-01-28,749,1093,0
2025-01-28,778,948,0
2025-01-28,777,1015,0
2025-01-28,782,982,0
2025-01-28,768,1025,0
2025-01-28,772,1057,0
2025-01-28,774,1073,0
2025-01-28,783,1078,0
2025-01-28,790,1078,0
2025-01-28,799,1074,0
2025-01-28,802,1065,0
2025-01-28,802,1075,0
2025-01-28,804,1050,0
2025-01-28,823,1052,0
2025-01-28,768,1117,0
2025-01-28,770,1089,0
2025-01-28,776,1107,0
2025-01-28,809,1088,0
2025-02-02,61,311,0
2025-02-02,51,350,0
2025-02-02,54,322,0
2025-02-02,54,328,0
2025-02-02,58,340,0
2025-02-02,68,308,0
2025-02-02,65,334,0
2025-02-02,71,350,0
2025-02-02,72,360,0
2025-02-02,72,379,0
2025-02-02,74,340,0
2025-02-02,81,360,0
2025-02-02,95,339,0
2025-02-02,95,350,0
2025-02-02,98,382,0
2025-02-02,99,359,0
2025-02-02,100,323,0
2025-02-02,106,329,0
2025-02-02,109,373,0
2025-02-02,120,380,0
2025-02-02,83,388,0
2025-02-02,84,393,0
2025-02-02,99,420,0
2025-02-02,101,392,0
2025-02-02,108,399,0
2025-02-02,114,419,0
2025-02-02,116,395,0
2025-02-02,117,399,0
2025-02-02,107,493,0
2025-02-02,108,455,0
2025-02-02,121,460,0
2025-02-02,124,504,0
2025-02-02,119,512,0
2025-02-02,123,517,0
2025-02-02,127,516,0
2025-02-02,88,684,0
2025-02-02,100,652,0
2025-02-02,101,679,0
2025-02-02,106,673,0
2025-02-02,109,653,0
2025-02-02,126,699,0
2025-02-02,140,376,0
2025-02-02,142,361,0
2025-02-02,157,383,0
2025-02-02,172,370,0
2025-02-02,178,373,0
2025-02-02,135,415,0
2025-02-02,137,443,0
2025-02-02,142,422,0
2025-02-02,142,447,0
2025-02-02,146,439,0
2025-02-02,149,428,0
2025-02-02,153,435,0
2025-02-02,159,387,0
2025-02-02,163,407,0
2025-02-02,164,404,0
2025-02-02,166,421,0
2025-02-02,176,416,0
2025-02-02,176,444,0
2025-02-02,180,398,0
2025-02-02,188,397,0
2025-02-02,128,492,0
2025-02-02,129,487,0
2025-02-02,150,458,0
2025-02-02,153,476,0
2025-02-02,154,485,0
2025-02-02,158,454,0
2025-02-02,158,492,0
2025-02-02,160,479,0
2025-02-02,167,467,0
2025-02-02,167,469,0
2025-02-02,169,508,0
2025-02-02,191,490,0
2025-02-02,134,534,0
2025-02-02,144,518,0
2025-02-02,159,546,0
2025-02-02,178,539,0
2025-02-02,187,551,0
2025-02-02,141,585,0
2025-02-02,146,626,0
2025-02-02,152,618,0
2025-02-02,155,590,0
2025-02-02,175,623,0
2025-02-02,179,603,0
2025-02-02,183,577,0
2025-02-02,138,687,0
2025-02-02,153,662,0
2025-02-02,155,661,0
2025-02-02,170,676,0
2025-02-02,131,711,0
2025-02-02,176,728,0
2025-02-02,198,373,0
2025-02-02,208,371,0
2025-02-02,218,366,0
2025-02-02,231,375,0
2025-02-02,240,374,0
2025-02-02,200,438,0
2025-02-02,201,384,0
2025-02-02,213,392,0
2025-02-02,233,430,0
2025-02-02,242,433,0
2025-02-02,201,451,0
2025-02-02,197,549,0
2025-02-02,200,526,0
2025-02-02,201,525,0
2025-02-02,202,512,0
2025-02-02,205,548,0
2025-02-02,219,527,0
2025-02-02,223,513,0
2025-02-02,231,523,0
2025-02-02,234,565,0
2025-02-02,235,547,0
2025-02-02,242,542,0
2025-02-02,198,582,0
2025-02-02,200,583,0
2025-02-02,229,587,0
2025-02-02,233,608,0
2025-02-02,237,588,0
2025-02-02,239,618,0
2025-02-02,241,591,0
2025-02-02,194,667,0
2025-02-02,213,687,0
2025-02-02,217,665,0
2025-02-02,220,699,0
2025-02-02,223,673,0
2025-02-02,253,672,0
2025-02-02,206,718,0
2025-02-02,212,716,0
2025-02-02,225,707,0
2025-02-02,265,557,0
2025-02-02,303,563,0
2025-02-02,307,564,0
2025-02-02,318,555,0
2025-02-02,259,590,0
2025-02-02,264,635,0
2025-02-02,268,581,0
2025-02-02,288,590,0
2025-02-02,292,576,0
2025-02-02,297,613,0
2025-02-02,308,580,0
2025-02-02,310,596,0
2025-02-02,312,627,0
2025-02-02,313,620,0
2025-02-02,315,605,0
2025-02-02,319,615,0
2025-02-02,256,647,0
2025-02-02,259,651,0
2025-02-02,266,650,0
2025-02-02,274,696,0
2025-02-02,281,692,0
2025-02-02,288,692,0
2025-02-02,289,682,0
2025-02-02,301,663,0
2025-02-02,302,664,0
2025-02-02,317,679,0
2025-02-02,319,663,0
2025-02-02,319,686,0
2025-02-02,284,704,0
2025-02-02,285,767,0
2025-02-02,297,711,0
2025-02-02,299,762,0
2025-02-02,314,779,0
2025-02-02,321,613,0
2025-02-02,324,588,0
2025-02-02,334,601,0
2025-02-02,343,588,0
2025-02-02,343,611,0
2025-02-02,358,586,0
2025-02-02,329,696,0
2025-02-02,339,699,0
2025-02-02,354,697,0
2025-02-02,326,712,0
2025-02-02,329,709,0
2025-02-02,331,760,0
2025-02-02,338,741,0
2025-02-02,345,706,0
2025-02-02,345,720,0
2025-02-02,345,756,0
2025-02-02,350,708,0
2025-02-02,358,737,0
2025-02-02,363,754,0
2025-02-02,373,721,0
2025-02-02,377,744,0
2025-02-02,346,768,0
2025-02-02,384,735,0
2025-02-02,384,744,0
2025-02-02,389,756,0
2025-02-02,394,759,0
2025-02-02,400,742,0
2025-02-02,410,704,0
2025-02-02,420,758,0
2025-02-02,421,730,0
2025-02-02,429,718,0
2025-02-02,433,735,0
2025-02-02,435,743,0
2025-02-02,415,786,0
2025-02-02,435,810,0
2025-02-02,436,784,0
2025-02-02,438,778,0
2025-02-02,443,810,0
2025-02-02,444,794,0
2025-02-02,445,801,0
2025-02-02,459,779,0
2025-02-02,475,788,0
2025-02-02,478,821,0
2025-02-02,480,790,0
2025-02-02,483,805,0
2025-02-02,468,848,0
2025-02-02,488,872,0
2025-02-02,490,856,0
2025-02-02,490,879,0
2025-02-02,496,854,0
2025-02-02,500,841,0
2025-02-02,500,860,0
2025-02-02,507,862,0
2025-02-02,510,873,0
2025-02-02,511,878,0
2025-02-02,509,910,0
2025-02-02,515,808,0
2025-02-02,518,812,0
2025-02-02,520,822,0
2025-02-02,554,828,0
2025-02-02,555,827,0
2025-02-02,513,861,0
2025-02-02,526,895,0
2025-02-02,528,855,0
2025-02-02,545,871,0
2025-02-02,550,842,0
2025-02-02,564,866,0
2025-02-02,543,916,0
2025-02-02,545,935,0
2025-02-02,556,954,0
2025-02-02,557,924,0
2025-02-02,561,924,0
2025-02-02,571,922,0
2025-02-02,572,943,0
2025-02-02,574,909,0
2025-02-02,556,971,0
2025-02-02,566,1005,0
2025-02-02,571,982,0
2025-02-02,518,1081,0
2025-02-02,526,1072,0
2025-02-02,533,1031,0
2025-02-02,533,1074,0
2025-02-02,534,1078,0
2025-02-02,537,1058,0
2025-02-02,540,1042,0
2025-02-02,552,1043,0
2025-02-02,563,1064,0
2025-02-02,565,1040,0
2025-02-02,571,1036,0
2025-02-02,533,1121,1
2025-02-02,534,1121,1
2025-02-02,536,1121,1
2025-02-02,537,1097,0
2025-02-02,544,1114,0
2025-02-02,544,1141,0
2025-02-02,546,1126,0
2025-02-02,550,1121,0
2025-02-02,554,1140,0
2025-02-02,559,1106,0
2025-02-02,562,1102,0
2025-02-02,562,1131,0
2025-02-02,564,1146,0
2025-02-02,567,1114,0
2025-02-02,570,1097,0
2025-02-02,572,1096,0
2025-02-02,545,1179,0
2025-02-02,550,1181,0
2025-02-02,556,1178,0
2025-02-02,564,1169,0
2025-02-02,588,890,0
2025-02-02,599,894,0
2025-02-02,600,890,0
2025-02-02,602,873,0
2025-02-02,605,884,0
2025-02-02,615,876,0
2025-02-02,580,944,0
2025-02-02,586,910,0
2025-02-02,595,910,0
2025-02-02,602,911,0
2025-02-02,623,940,0
2025-02-02,634,941,0
2025-02-02,639,942,0
2025-02-02,578,993,0
2025-02-02,578,1000,0
2025-02-02,580,970,0
2025-02-02,581,996,0
2025-02-02,590,973,0
2025-02-02,591,978,0
2025-02-02,592,969,0
2025-02-02,595,1014,0
2025-02-02,600,986,0
2025-02-02,603,1020,0
2025-02-02,616,1008,0
2025-02-02,618,1016,0
2025-02-02,622,963,0
2025-02-02,623,971,0
2025-02-02,628,1003,0
2025-02-02,630,994,0
2025-02-02,637,1019,0
2025-02-02,638,983,0
2025-02-02,583,1082,0
2025-02-02,596,1035,0
2025-02-02,610,1026,0
2025-02-02,611,1048,0
2025-02-02,637,1078,0
2025-02-02,638,1055,0
2025-02-02,591,1089,0
2025-02-02,597,1130,0
2025-02-02,616,1100,0
2025-02-02,618,1096,0
2025-02-02,625,1119,0
2025-02-02,629,1098,0
2025-02-02,679,893,0
2025-02-02,641,939,0
2025-02-02,655,958,0
2025-02-02,660,953,0
2025-02-02,677,951,0
2025-02-02,679,945,0
2025-02-02,680,914,0
2025-02-02,682,902,0
2025-02-02,685,896,0
2025-02-02,700,923,0
2025-02-02,652,993,0
2025-02-02,655,998,0
2025-02-02,668,986,0
2025-02-02,677,1023,0
2025-02-02,681,1008,0
2025-02-02,686,993,0
2025-02-02,687,1003,0
2025-02-02,643,1065,0
2025-02-02,645,1048,0
2025-02-02,646,1046,0
2025-02-02,655,1069,0
2025-02-02,656,1031,0
2025-02-02,657,1041,0
2025-02-02,659,1079,0
2025-02-02,666,1047,0
2025-02-02,666,1059,0
2025-02-02,671,1041,0
2025-02-02,676,1058,0
2025-02-02,676,1080,0
2025-02-02,677,1058,0
2025-02-02,680,1039,0
2025-02-02,682,1050,0
2025-02-02,682,1059,0
2025-02-02,684,1080,0
2025-02-02,687,1081,0
2025-02-02,688,1058,0
2025-02-02,693,1034,0
2025-02-02,697,1049,0
2025-02-02,641,1104,0
2025-02-02,647,1094,0
2025-02-02,662,1107,0
2025-02-02,685,1098,0
2025-02-02,685,1126,0
2025-02-02,689,1106,0
2025-02-02,704,935,0
2025-02-02,722,935,0
2025-02-02,727,958,0
2025-02-02,730,939,0
2025-02-02,733,943,0
2025-02-02,734,926,0
2025-02-02,736,952,0
2025-02-02,726,974,0
2025-02-02,735,1015,0
2025-02-02,740,984,0
2025-02-02,742,1018,0
2025-02-02,757,996,0
2025-02-02,760,962,0
2025-02-02,716,1075,0
2025-02-02,725,1061,0
2025-02-02,727,1083,0
2025-02-02,745,1064,0
2025-02-02,752,1067,0
2025-02-02,753,1078,0
2025-02-02,706,1089,0
2025-02-02,707,1105,0
2025-02-02,709,1102,0
2025-02-02,734,1101,0
2025-02-02,735,1105,0
2025-02-02,740,1112,0
2025-02-02,758,1112,0
2025-02-02,768,953,0
2025-02-02,768,987,0
2025-02-02,771,960,0
2025-02-02,775,996,0
2025-02-02,787,995,0
2025-02-02,799,1010,0
2025-02-02,770,1071,0
2025-02-02,778,1081,0
2025-02-02,780,1067,0
2025-02-02,787,1053,0
2025-02-02,787,1060,0
2025-02-02,791,1060,0
2025-02-02,800,1077,0
2025-02-02,809,1076,0
2025-02-02,811,1066,0
2025-02-02,816,1043,0
2025-02-02,820,1072,0
2025-02-02,824,1046,0
2025-02-02,809,1088,0
2025-02-07,61,315,0
2025-02-07,43,324,0
2025-02-07,45,345,0
2025-02-07,48,323,0
2025-02-07,48,347,0
2025-02-07,50,351,0
2025-02-07,90,313,0
2025-02-07,64,329,0
2025-02-07,68,365,0
2025-02-07,75,345,0
2025-02-07,77,320,0
2025-02-07,83,350,0
2025-02-07,102,351,0
2025-02-07,103,367,0
2025-02-07,105,372,0
2025-02-07,106,367,0
2025-02-07,109,354,0
2025-02-07,109,372,0
2025-02-07,117,363,0
2025-02-07,117,364,0
2025-02-07,126,360,0
2025-02-07,82,400,0
2025-02-07,94,386,0
2025-02-07,95,416,0
2025-02-07,105,416,0
2025-02-07,122,446,0
2025-02-07,127,418,0
2025-02-07,107,449,0
2025-02-07,111,485,0
2025-02-07,118,460,0
2025-02-07,126,474,0
2025-02-07,126,526,0
2025-02-07,89,698,0
2025-02-07,100,655,0
2025-02-07,110,682,0
2025-02-07,114,701,0
2025-02-07,145,359,0
2025-02-07,145,373,0
2025-02-07,151,360,0
2025-02-07,162,361,0
2025-02-07,183,351,0
2025-02-07,184,378,0
2025-02-07,185,349,0
2025-02-07,132,416,0
2025-02-07,144,399,0
2025-02-07,146,395,0
2025-02-07,148,393,0
2025-02-07,148,397,0
2025-02-07,149,447,0
2025-02-07,155,434,0
2025-02-07,158,402,0
2025-02-07,160,386,0
2025-02-07,163,391,0
2025-02-07,167,424,0
2025-02-07,173,388,0
2025-02-07,179,400,0
2025-02-07,130,470,0
2025-02-07,131,472,0
2025-02-07,134,455,0
2025-02-07,135,477,0
2025-02-07,137,482,0
2025-02-07,142,511,0
2025-02-07,145,507,0
2025-02-07,153,453,0
2025-02-07,156,477,0
2025-02-07,161,465,0
2025-02-07,170,460,0
2025-02-07,171,510,0
2025-02-07,180,497,0
2025-02-07,181,505,0
2025-02-07,137,532,0
2025-02-07,141,570,0
2025-02-07,147,566,0
2025-02-07,155,567,0
2025-02-07,156,534,0
2025-02-07,159,538,0
2025-02-07,161,535,0
2025-02-07,163,514,0
2025-02-07,169,541,0
2025-02-07,178,567,0
2025-02-07,182,565,0
2025-02-07,184,518,0
2025-02-07,134,578,0
2025-02-07,142,583,0
2025-02-07,153,576,0
2025-02-07,162,581,0
2025-02-07,163,614,0
2025-02-07,163,635,0
2025-02-07,169,599,0
2025-02-07,171,585,0
2025-02-07,172,616,0
2025-02-07,173,637,0
2025-02-07,174,624,0
2025-02-07,189,639,0
2025-02-07,128,682,0
2025-02-07,131,698,0
2025-02-07,149,640,0
2025-02-07,172,656,0
2025-02-07,177,680,0
2025-02-07,184,709,0
2025-02-07,200,378,0
2025-02-07,201,351,0
2025-02-07,205,356,0
2025-02-07,208,366,0
2025-02-07,211,374,0
2025-02-07,200,384,0
2025-02-07,215,384,0
2025-02-07,227,428,0
2025-02-07,228,415,0
2025-02-07,233,391,0
2025-02-07,196,502,0
2025-02-07,212,505,0
2025-02-07,195,512,0
2025-02-07,202,574,0
2025-02-07,204,560,0
2025-02-07,220,530,0
2025-02-07,223,521,0
2025-02-07,227,548,0
2025-02-07,228,513,0
2025-02-07,231,546,0
2025-02-07,235,522,0
2025-02-07,244,536,0
2025-02-07,200,601,0
2025-02-07,200,632,0
2025-02-07,238,626,0
2025-02-07,194,667,0
2025-02-07,210,648,0
2025-02-07,210,650,0
2025-02-07,217,690,0
2025-02-07,230,703,0
2025-02-07,241,672,0
2025-02-07,246,651,0
2025-02-07,253,651,0
2025-02-07,193,706,0
2025-02-07,204,716,0
2025-02-07,283,559,0
2025-02-07,295,551,0
2025-02-07,298,556,0
2025-02-07,305,550,0
2025-02-07,317,569,0
2025-02-07,257,625,0
2025-02-07,265,583,0
2025-02-07,265,600,0
2025-02-07,267,615,0
2025-02-07,268,601,0
2025-02-07,269,578,0
2025-02-07,281,599,0
2025-02-07,282,631,0
2025-02-07,304,585,0
2025-02-07,304,618,0
2025-02-07,308,610,0
2025-02-07,313,621,0
2025-02-07,314,619,0
2025-02-07,258,656,0
2025-02-07,263,663,0
2025-02-07,268,651,0
2025-02-07,272,679,0
2025-02-07,277,680,0
2025-02-07,291,648,0
2025-02-07,292,703,0
2025-02-07,297,703,0
2025-02-07,303,680,0
2025-02-07,309,649,0
2025-02-07,312,699,0
2025-02-07,313,674,0
2025-02-07,316,686,0
2025-02-07,267,750,0
2025-02-07,279,745,0
2025-02-07,280,719,0
2025-02-07,288,746,0
2025-02-07,288,764,0
2025-02-07,289,767,0
2025-02-07,292,722,0
2025-02-07,293,752,0
2025-02-07,299,720,0
2025-02-07,303,745,0
2025-02-07,315,765,0
2025-02-07,310,769,0
2025-02-07,319,777,0
2025-02-07,329,584,0
2025-02-07,341,589,0
2025-02-07,354,583,0
2025-02-07,326,700,0
2025-02-07,347,693,0
2025-02-07,371,690,0
2025-02-07,377,691,0
2025-02-07,324,720,0
2025-02-07,332,715,0
2025-02-07,335,748,0
2025-02-07,343,733,0
2025-02-07,349,704,0
2025-02-07,352,722,0
2025-02-07,352,754,0
2025-02-07,374,713,0
2025-02-07,375,750,0
2025-02-07,375,758,0
2025-02-07,377,726,0
2025-02-07,382,749,0
2025-02-07,391,708,0
2025-02-07,392,747,0
2025-02-07,397,740,0
2025-02-07,399,729,0
2025-02-07,416,753,0
2025-02-07,423,726,0
2025-02-07,434,754,0
2025-02-07,436,793,0
2025-02-07,440,812,0
2025-02-07,458,759,1
2025-02-07,466,791,0
2025-02-07,473,797,0
2025-02-07,476,795,0
2025-02-07,479,808,0
2025-02-07,483,782,0
2025-02-07,499,824,0
2025-02-07,500,808,0
2025-02-07,501,789,0
2025-02-07,501,828,0
2025-02-07,503,810,0
2025-02-07,505,816,0
2025-02-07,507,821,0
2025-02-07,481,847,0
2025-02-07,486,879,0
2025-02-07,487,873,0
2025-02-07,495,871,0
2025-02-07,497,851,0
2025-02-07,505,872,0
2025-02-07,539,820,0
2025-02-07,513,837,0
2025-02-07,523,864,0
2025-02-07,525,863,0
2025-02-07,534,878,0
2025-02-07,536,876,0
2025-02-07,537,863,0
2025-02-07,540,890,0
2025-02-07,542,832,0
2025-02-07,551,847,0
2025-02-07,554,834,0
2025-02-07,559,886,0
2025-02-07,560,892,0
2025-02-07,569,866,0
2025-02-07,523,913,0
2025-02-07,523,915,0
2025-02-07,529,903,0
2025-02-07,548,931,0
2025-02-07,556,907,0
2025-02-07,558,940,0
2025-02-07,562,958,0
2025-02-07,567,914,0
2025-02-07,572,903,0
2025-02-07,539,963,0
2025-02-07,543,999,0
2025-02-07,547,989,0
2025-02-07,557,976,0
2025-02-07,561,993,0
